Upper,     m=16,n=1, i=25,fi=20,     band=40,5,     obserAnalytic=13,     observModel=13,     long=17,000406,     valid=False,     error=1962,75867437362,     limit=1757,47499670377,     length=9,96394882241422,     
Upper,     m=16,n=1, i=25,fi=20,     band=40,5,     obserAnalytic=12,     observModel=12,     long=22,24119,     valid=False,     error=1865,71487181727,     limit=1757,47499670377,     length=0,517619658579065,     
Upper,     m=16,n=1, i=25,fi=25,     band=45,5,     obserAnalytic=13,     observModel=13,     long=0,184417,     valid=False,     error=2035,66723069823,     limit=1757,47499670377,     length=0,368834510833276,     
Upper,     m=16,n=1, i=25,fi=25,     band=45,5,     obserAnalytic=13,     observModel=13,     long=16,815989,     valid=False,     error=1926,2138890378,     limit=1757,47499670377,     length=11,3680226504056,     
Upper,     m=16,n=1, i=25,fi=30,     band=50,5,     obserAnalytic=13,     observModel=13,     long=0,679717,     valid=False,     error=2007,71057047997,     limit=1757,47499670377,     length=1,3594331303516,     
Upper,     m=16,n=1, i=25,fi=30,     band=50,5,     obserAnalytic=13,     observModel=13,     long=16,320689,     valid=False,     error=1894,15423696017,     limit=1757,47499670377,     length=12,358621269924,     
Upper,     m=16,n=1, i=25,fi=35,     band=55,5,     obserAnalytic=13,     observModel=13,     long=1,247015,     valid=False,     error=1973,53908435709,     limit=1757,47499670377,     length=2,49402939130022,     
Upper,     m=16,n=1, i=25,fi=35,     band=55,5,     obserAnalytic=13,     observModel=13,     long=15,753391,     valid=False,     error=1855,57806840001,     limit=1757,47499670377,     length=13,4932175308725,     
Upper,     m=16,n=1, i=30,fi=5,band=25,5,     obserAnalytic=11,     observModel=11,     long=1,056513,     valid=False,     error=1768,09090280916,     limit=1759,29923867542,     length=2,11302527747289,     
Upper,     m=16,n=1, i=30,fi=5,band=25,5,     obserAnalytic=12,     observModel=12,     long=5,744697,     valid=False,     error=1839,97785728864,     limit=1759,29923867542,     length=7,26334425505662,     
