Lower,     m=16,n=1, i=135,     fi=5,band=10,5,     obserAnalytic=3,     observModel=4,     long=10,011696,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0625219031544191,     
Lower,     m=16,n=1, i=135,     fi=15,     band=0,5,     obserAnalytic=1,     observModel=2,     long=6,325431,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0214081284668168,     
Lower,     m=16,n=1, i=135,     fi=30,     band=5,5,     obserAnalytic=2,     observModel=3,     long=16,781995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,105647994505794,     
Upper,     m=16,n=1, i=135,     fi=45,     band=0,5,     obserAnalytic=0,     observModel=1,     long=5,531995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,114580189332077,     
Upper,     m=16,n=1, i=135,     fi=50,     band=20,5,     obserAnalytic=5,     observModel=6,     long=16,781995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0161566847739962,     
Upper,     m=16,n=1, i=135,     fi=55,     band=45,5,     obserAnalytic=9,     observModel=10,     long=16,781995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0874169766202648,     
Upper,     m=16,n=1, i=135,     fi=70,     band=30,5,     obserAnalytic=4,     observModel=5,     long=22,462323,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0753543266276324,     
Upper,     m=16,n=1, i=135,     fi=70,     band=50,5,     obserAnalytic=10,     observModel=11,     long=22,442511,     valid=False,     error=0,     limit=1827,27125236829,     length=0,114978737981147,     
Lower,     m=16,n=1, i=140,     fi=5,band=0,5,     obserAnalytic=0,     observModel=1,     long=16,77445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0495107985379235,     
Lower,     m=16,n=1, i=140,     fi=5,band=25,5,     obserAnalytic=7,     observModel=8,     long=13,569191,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0205660942352282,     
Lower,     m=16,n=1, i=140,     fi=5,band=25,5,     obserAnalytic=7,     observModel=8,     long=19,979709,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0205660942352282,     
Upper,     m=16,n=1, i=140,     fi=15,     band=25,5,     obserAnalytic=10,     observModel=11,     long=22,402214,     valid=False,     error=0,     limit=1829,68251924628,     length=0,195572756033243,     
Upper,     m=16,n=1, i=140,     fi=15,     band=35,5,     obserAnalytic=11,     observModel=12,     long=16,77445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,104724760168768,     
Lower,     m=16,n=1, i=140,     fi=20,     band=5,5,     obserAnalytic=1,     observModel=2,     long=4,94579,     valid=False,     error=0,     limit=1829,68251924628,     length=0,129417221165312,     
