Upper,     m=2, n=1, i=48,fi=18,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15952,7987344774,     limit=14378,6032080801,     length=1,02941230538244,     
Upper,     m=2, n=1, i=48,fi=19,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15441,3771634625,     limit=14378,6032080801,     length=0,107964470335759,     
Upper,     m=2, n=1, i=48,fi=19,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15441,3771634625,     limit=14378,6032080801,     length=0,587302769355375,     
Upper,     m=2, n=1, i=48,fi=19,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15441,3771634625,     limit=14378,6032080801,     length=1,04278387046162,     
Upper,     m=2, n=1, i=48,fi=19,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15441,3771634625,     limit=14378,6032080801,     length=1,47236578706969,     
Upper,     m=2, n=1, i=48,fi=20,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14972,0804065337,     limit=14378,6032080801,     length=0,519874872965659,     
Upper,     m=2, n=1, i=48,fi=20,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14972,0804065337,     limit=14378,6032080801,     length=1,02298732847186,     
Upper,     m=2, n=1, i=48,fi=20,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14972,0804065337,     limit=14378,6032080801,     length=1,5040122266239,     
Upper,     m=2, n=1, i=48,fi=20,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14972,0804065337,     limit=14378,6032080801,     length=1,96119226425748,     
Upper,     m=2, n=1, i=48,fi=21,     band=58,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14535,6936606098,     limit=14378,6032080801,     length=0,4286902684496,     
Upper,     m=2, n=1, i=48,fi=21,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14535,6936606098,     limit=14378,6032080801,     length=0,97487529474941,     
Upper,     m=2, n=1, i=48,fi=21,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14535,6936606098,     limit=14378,6032080801,     length=1,50192657146732,     
Upper,     m=2, n=1, i=48,fi=21,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14535,6936606098,     limit=14378,6032080801,     length=2,00846966214692,     
Upper,     m=2, n=1, i=48,fi=21,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=14535,6936606098,     limit=14378,6032080801,     length=2,49297205136568,     
Upper,     m=2, n=1, i=49,fi=14,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=17821,4727174603,     limit=14378,6383514488,     length=0,151233696155629,     
Upper,     m=2, n=1, i=49,fi=15,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00552,     valid=False,     error=17086,9194764836,     limit=14378,6383514488,     length=0,115502009448392,     
